,name,description,tags,link
10,go-tfdata,"The go-tfdata is a Go library helping to work with tar/tgz archives and files in TFRecord and tf.Example formats, including converting TAR files to TFRecord files. It provides interfaces and their default implementations on each intermediate step between tar and TFRecord format. Additionally, it includes easy to use utilities to convert and augment data in intermediate steps.","['tensorflow', 'tar', 'tfrecord', 'golang', 'tfexample', 'datapipeline']",https://github.com/NVIDIA/go-tfdata
11,pix2pixHD,Pytorch implementation of our method for high-resolution (e.g. 2048x1024) photorealistic image-to-image translation. It can be used for turning semantic label maps into photo-realistic images or synthesizing portraits from face label maps.,"['gan', 'deep-learning', 'deep-neural-networks', 'pytorch', 'pix2pix', 'image-to-image-translation', 'generative-adversarial-network', 'computer-vision', 'computer-graphics']",https://github.com/NVIDIA/pix2pixHD
12,Dataset_Synthesizer,"NDDS is a UE4 plugin from NVIDIA to empower computer vision researchers to export high-quality synthetic images with metadata. NDDS supports images, segmentation, depth, object pose, bounding box, keypoints, and custom stencils. In addition to the exporter, the plugin includes different components for generating highly randomized images. This randomization includes lighting, objects, camera position, poses, textures, and distractors, as well as camera path following, and so forth. Together, these components allow researchers to easily create randomized scenes for training deep neural networks.","['computer-vision', 'deep-learning', 'synthetic-dataset-generation', 'domain-randomization', 'pose-estimation', 'object-detection']",https://github.com/NVIDIA/Dataset_Synthesizer
13,Wetectron,Wetectron is a software system that implements state-of-the-art weakly-supervised object detection algorithms.,"['object-detection', 'pytorch', 'apex', 'computer-vision', 'deep-learning']",https://github.com/NVlabs/wetectron
14,PWC-Net: CNNs for Optical Flow Using Pyramid,"PWC-Net fuses several classic optical flow estimation techniques, including image pyramid, warping, and cost volume, in an end-to-end trainable deep neural networks for achieving state-of-the-art results.","['deeplearning', 'optical-flow', 'computer-vision', 'pytorch', 'caffe', 'cvpr', 'pwc-net']",https://github.com/NVlabs/PWC-Net
15,DG-Net,"Joint Discriminative and Generative Learning for Person Re-identification, CVPR 2019 (Oral)","['re-identification', 'person-reidentification', 'person-reid', 'image-search', 'pytorch', 'apex']",https://github.com/NVlabs/DG-Net
16,Pixel-Adaptive Convolutional Neural Networks,"Pixel-Adaptive Convolutional Neural Networks. Hang Su, Varun Jampani, Deqing Sun, Orazio Gallo, Erik Learned-Miller, and Jan Kautz. CVPR 2019.","['tensorflow', 'deep-learning', 'machine-learning', 'computer-vision', 'deep-neural-networks']",https://github.com/NVlabs/pacnet
17,Intrinsic3D,High-Quality 3D Reconstruction by Joint Appearance and Geometry Optimization with Spatially-Varying Lighting (ICCV 2017),"['tensorflow', '3d-reconstruction', 'nvidia', 'surface-reconstruction', '3d', 'computer-vision']",https://github.com/NVlabs/intrinsic3d
18,Condensa,"Condensa is a framework for programmable model compression in Python. It comes with a set of built-in compression operators which may be used to compose complex compression schemes targeting specific combinations of DNN architecture, hardware platform, and optimization objective.","['tensorflow', 'model-compression', 'model-pruning', 'deep-neural-networks']",https://github.com/NVlabs/condensa
19,MUNIT,MUNIT: Multimodal UNsupervised Image-to-image Translation,"['gan', 'deep-learning', 'image-translation', 'pytorch']",https://github.com/NVlabs/MUNIT
20,STEP,"STEP: Spatio-Temporal Progressive Learning for Video Action Detection, CVPR 2019 (Oral)","['tensorflow', 'action-detection', 'action-recognition', 'apex', 'video-understanding', 'activity-recognition']",https://github.com/NVlabs/STEP
21,Splatnet,SPLATNet: Sparse Lattice Networks for Point Cloud Processing (CVPR2018),"['deep-learning', '3d', 'point-cloud', 'cvpr2018', 'pytorch']",https://github.com/NVlabs/splatnet
22,SCOPS,SCOPS: Self-Supervised Co-Part Segmentation (CVPR 2019),"['computer-vision', 'segmentation', 'pytorch']",https://github.com/NVlabs/SCOPS
23,NVAE,NVAE is a deep hierarchical variational autoencoder that enables training SOTA likelihood-based generative models on several image datasets.,"['computer-vision', 'cuda', 'pytorch', 'autoencoder']",https://github.com/NVlabs/NVAE
24,PAMTRI,"This repo contains the official PyTorch implementation of PAMTRI: Pose-Aware Multi-Task Learning for Vehicle Re-Identification Using Highly Randomized Synthetic Data, ICCV 2019.","['computer-vision', 'cuda', 'pytorch', 'autoencoder', 're-identification', 'multi-task learning']",https://github.com/NVlabs/PAMTRI
25,tf_to_trt_image_classification,Image classification with NVIDIA TensorRT from TensorFlow models.,"['tensorflow', 'image-classification']",https://github.com/NVIDIA-AI-IOT/tf_to_trt_image_classification
